collaborative,num_albums,num_tracks,num_followers,num_edits,duration_ms,num_artists
0,16,189,1,4,31428282,65
0,18,165,2,2,38241566,8
0,14,17,1,3,3549358,3
0,195,225,2,91,51242585,157
0,118,165,1,74,42601098,92
0,26,28,1,2,5870710,25
0,74,80,2,40,19652753,67
0,48,58,1,20,13158862,38
0,82,84,3,36,18432208,79
0,36,41,1,25,9413467,31
0,72,74,2,11,17853470,63
0,90,97,18,27,20635206,82
0,7,18,1,3,3974946,3
0,55,67,1,42,14724585,45
0,64,83,3,27,21004989,49
0,32,53,1,3,12136870,19
0,141,198,1,104,43843897,89
0,21,29,1,5,6992643,12
0,106,130,14,27,30811124,70
0,42,43,1,15,11198025,32
0,15,17,1,6,2990119,15
0,18,106,1,2,31005347,17
0,20,29,1,4,5303964,17
0,30,35,1,5,8934828,27
0,7,7,1,5,1733764,7
0,128,207,2,35,49680278,105
0,18,24,1,3,6735372,18
0,25,28,1,3,5787913,22
0,124,140,1,31,31981760,91
0,19,19,1,12,4728540,19
0,7,33,1,2,7651308,4
0,13,13,1,6,2936280,9
0,37,38,1,20,8679140,34
0,47,52,1,5,15346260,39
0,9,9,1,3,1852825,8
0,135,162,1,28,34122238,82
1,46,47,1,22,10537192,44
0,57,78,1,15,17012063,42
0,5,5,1,3,1016953,5
0,93,108,1,47,22954707,70
0,14,16,1,3,4397690,11
0,20,20,3,3,5346228,18
0,25,178,1,5,37595412,16
0,24,34,1,17,7540783,21
0,37,42,1,29,9286058,35
0,84,105,1,29,22639419,64
0,17,19,2,12,4325298,16
0,75,89,1,4,20768728,54
0,22,36,1,6,6437535,29
1,76,85,1,66,23818051,62
0,72,84,4,23,21808612,62
0,17,21,1,16,5345783,17
0,51,83,1,11,19228616,31
0,44,111,1,4,36280408,23
0,77,91,2,28,18950572,73
0,21,30,1,14,7277511,18
0,112,138,2,44,30840237,97
0,81,85,2,52,19396030,75
0,16,16,1,4,3627682,16
0,131,166,1,64,38015341,105
0,13,13,1,7,3414784,11
0,28,30,1,5,6751172,27
0,63,75,1,14,12775185,47
0,75,138,2,12,30098732,37
0,104,208,1,7,48328236,70
0,20,20,3,3,3808776,18
0,14,18,1,2,4920526,8
0,83,84,3,6,20404984,72
0,10,10,1,2,2341187,10
0,120,136,1,50,31892119,102
0,164,184,1,7,40760579,140
0,36,44,1,4,10010559,30
0,124,167,1,24,42319135,67
0,129,143,1,27,29992631,109
0,44,54,1,13,12228234,38
0,11,22,1,11,7149359,9
0,22,23,1,20,5809774,19
0,16,23,1,11,8492240,11
0,60,63,1,33,13911612,51
0,9,30,1,2,3925271,4
0,21,25,1,9,5259015,18
0,11,16,1,2,4075243,9
0,12,13,1,8,2803478,12
